source_id,ra,dec,parallax,phot_bp_mean_mag,phot_rp_mean_mag,phot_g_mean_mag
4165976478783600000,262.1886015156872,-11.245291998849137,0.49609449011005047,18.294092,16.679419,17.512001
4165980292707200000,262.3941606777935,-11.21220692959691,0.9159477571418884,20.604876,18.897955,19.959173
4165678060154400000,266.32989254844614,-8.052077098738183,0.8263563099077598,20.609896,18.735233,19.68377
4165981735824000000,262.4900528363219,-11.151686556300628,0.7044482781901464,16.818655,15.4659605,16.212994
4165823337425200000,267.2582960684528,-7.374178442137545,0.34423352741348245,21.195393,19.226248,20.278387
4166142573750400000,260.8160360924197,-10.970685054414156,0.8740903757539352,,,20.495098
4165827598041600000,267.21041141705587,-7.302458059800514,0.05155146783056186,20.375275,18.762392,19.55327
4165986305664000000,262.4492675807531,-11.041767285091233,0.4041460650554579,21.224249,19.542646,20.448462
4166331414872800000,261.35873972109925,-10.302602256904736,0.5148825851081263,19.83351,18.034147,18.965393
4165829865774400000,261.5800486948694,-11.986836057519463,0.6384799044416037,20.655848,19.193102,20.392017
4166151198047600000,261.1125439050974,-10.97230776597392,0.40029516614984606,20.896622,19.368683,20.16357
4165683287137200000,266.62500121876803,-7.925067036338331,0.8037600603442886,18.105429,16.151806,17.122889
4165837386261600000,261.5319108190816,-11.816799895071206,1.0245639333811745,15.403372,14.108915,14.834265
4166164972007600000,261.0881924393771,-10.855322798526283,0.5479387163953369,17.505747,15.8427,16.723536
4165689776825200000,267.22185835832255,-8.310482463375875,0.414759624660598,18.800251,16.92901,17.868607
4165691357373200000,267.29944721769584,-8.266722957018661,1.3602816964707525,18.176268,16.012331,17.055109
4166002076788800000,262.1894617150198,-10.95923919623774,0.13849947746323132,16.601625,14.871334,15.771376
4311549000812000000,282.95515709723105,10.227536869666878,0.5495706406337655,,,19.367973
4311550547031200000,282.7429986237266,10.176617041215907,0.923976747841282,19.29257,17.442314,18.3518
4166009395408000000,262.6603382415375,-10.923381842143941,1.261081800124466,21.19556,19.800415,20.480494
4165852745064800000,261.25088196589394,-11.747594309746182,0.7821428123625966,20.738125,19.096947,19.896547
4166014377569600000,262.79102614991945,-10.945501165983845,0.9152630686440985,20.757475,19.233364,20.643288
4166198373968000000,260.61738987366857,-10.725784628292999,0.7663853116836943,21.71665,19.389837,20.689754
4166016851469600000,262.86751077539486,-10.855289709807023,0.42590270875646546,,,20.33608
4166201015371200000,260.31601070428684,-10.85821761582704,0.7985609398696986,15.61702,14.044164,14.882951
4166018913061200000,262.7285329057699,-10.85620559306066,0.21270923471222222,18.079914,16.422356,17.292637
4165864397309600000,261.56082802177025,-11.458590797783922,0.7601077496739655,21.530222,19.167068,20.475313
4166206512929600000,260.35712426507223,-10.739680816672731,0.6212727575305448,19.60759,17.658524,18.736816
4166021490041600000,262.7832635110247,-10.740951722185807,1.041993892161211,16.218908,14.858983,15.615222
4166207200124400000,260.2811801779212,-10.718280776364274,0.09774171526193154,18.050655,16.163422,17.111784
4165869379480000000,261.8495046438501,-11.622513154076339,0.2295234691538394,16.842001,15.0559025,15.975426
4166210777837200000,260.6604565766516,-10.665598444494767,0.9386996233331437,18.014877,16.320372,17.367044
4166026708422000000,262.5128372227628,-10.794222871833076,0.0847905611047957,20.586319,19.220217,19.95414
4166217679846800000,260.9141081255292,-10.716957267174216,0.2032490983467033,16.853464,15.121089,16.022703
