source_id,ra,dec,parallax
5988648792651126016,237.8873600839866,-43.85165267497219,-0.30807603708933023
5988648792651126656,237.88756386180168,-43.85006487112993,0.2596077922656278
5988648792651127040,237.88657357206313,-43.848472298215114,0.3788277846707659
5988648792651127424,237.87943525578027,-43.84744185013028,0.633063751794203
5988648792651127808,237.89102102142337,-43.84588186928179,2.685752370903414
5988648792651128192,237.87908957713913,-43.843464972847606,0.35408380489892105
5988648792651128448,237.88516658344898,-43.843343962038674,0.2701393753936216
5988648792651129216,237.89280382924005,-43.84277003101229,1.4865869772245344
5988648792651132416,237.88166661803254,-43.832783220797744,0.43183888506157414
5988648792652300288,237.88501273113636,-43.84061362898097,-0.7973151517879191
5988648792652300416,237.8868229849275,-43.8405756537364,0.0831647866250204
5988648822676794880,237.89899431506436,-43.83926002113501,0.24512050100866845
5988648822676808704,237.90313659541334,-43.832056530176374,0.16417918500417514
5988648822678318464,237.9051327151485,-43.84862052448397,0.8201716236556599
5988845055465960960,236.66860860460758,-45.08121823474974,0.4758145193373194
5988845055465961472,236.6706585029716,-45.079594018726006,0.4404692003209277
5988845055465963776,236.67028910599154,-45.07616464734345,-0.2667848529186011
5988845055465965568,236.66537228896195,-45.075049589243406,0.2569670294919493
5988845055465968000,236.66659800419902,-45.07027916923506,0.35553088711075853
5988845055466044800,236.6769300395177,-45.08164514345764,0.3498253793438701
5988845055466044928,236.66912080593053,-45.080030505948635,-0.5135313677532382
5988845055470612864,236.67649410323835,-45.083986985440696,
5988845055470612992,236.66474430284984,-45.08540046908556,
5988845085501812864,236.6988230177547,-45.07997978707027,0.30747543650748044
5988845085501826432,236.68802545770816,-45.07605671909525,-0.040370539806677076
5988845085501830528,236.68657646173997,-45.07465881075366,0.4553423691136416
5988845085502325504,236.69771251358844,-45.08338461799316,0.43284606830569006
5988845085502326912,236.68373011925814,-45.081642343201224,0.23920285409217099
5988785132080401024,235.41191941345693,-45.52524440431615,-0.24535855551414315
3739639333277439488,200.7809189629984,12.829680465581582,1.1981419746964457
3739639432061326848,200.71790832767434,12.82389329781113,
3739639466420556416,200.72525299575565,12.823947718656914,-0.6698521471929004
3739639676874804992,200.7418501603822,12.846978445636202,0.5206701183884215
3739639775658209664,200.77389181246522,12.844916553732872,-0.5117290241943493
3739639775658775680,200.76749531892065,12.848736722725645,
3739639810017953280,200.78334305643915,12.857765505860309,
3739640089191665920,200.76509576055506,12.866147827006014,0.8050336252327283
3739640119255605120,200.78329771490107,12.874472484013884,0.961680797414896
3739640153615348736,200.799752755615,12.888928764605852,0.237433407225082
3739640222334884480,200.78876831791055,12.897629625196467,
3739640226629365760,200.78608048403183,12.885949307714514,0.8028173411008439
3739640291054284800,200.70990921480188,12.842714640454277,0.23737075877309988
3739640329709833856,200.6851030705927,12.839361399081813,1.6156839478063947
3739640432789049216,200.7288018154635,12.858837769345993,0.3795280911996764
5988713938687258880,236.2131085521004,-45.63841991604186,
5988713938687441792,236.21032034665436,-45.647149897822096,
5988713938705678464,236.21427226278675,-45.65183635899651,0.35683412201954723
5988713938705680512,236.22042018332604,-45.64514300471974,0.8403984126954378
5988713938705682560,236.21953975590733,-45.64269205799311,0.21452871391103204
5988713938705682688,236.21280392588952,-45.644822697683395,0.28664643498912407
5988713938706296320,236.22119455552675,-45.645814852589304,
5988713938706312320,236.21238570035354,-45.64401152376059,1.7236691388771554
5988713938706344960,236.21942028764923,-45.64486604131848,
5988713938706345344,236.22767248284327,-45.6480332013057,
5988713938710927232,236.21877752192015,-45.65345878178604,
5988713938710928128,236.21342172682753,-45.65218028949704,
5988713938710929408,236.2144990540601,-45.63758128996922,0.8906679544872698
5988713938711048192,236.22287497597665,-45.6524889733761,-0.3522501433812251
5988713968746478336,236.24349217643308,-45.65312339746484,0.4369102056142416
5988713968746484736,236.23099745010157,-45.64895098329279,0.1823788904333409
5988785093397553792,235.38767740156754,-45.53495100908252,0.3503771359957206
5988785093401763840,235.3978784073243,-45.54310295301511,0.7603475863643061
5988785093401778432,235.39623147709122,-45.53705769594087,0.7635551290038596
5988785093401779328,235.40616081411966,-45.53601287544427,0.5601993993934976
5988785093401780224,235.39570995332534,-45.535173388987104,0.0905958193504862
5988785093401791104,235.39408384585084,-45.531136251033836,0.39892480906143835
5988785093401791616,235.40088330147836,-45.53160990296218,-0.06369084875053618
5988785093401796736,235.39612544480042,-45.528646893592736,0.1144786084153154
5988785093409000832,235.3969569938969,-45.536838369650646,0.1194091689820073
5988785097714414976,235.40121858184685,-45.54545192381379,-0.4724457729601605
5988785097714416640,235.39397986505816,-45.54380419369061,
5988785097714417024,235.40425809887654,-45.53972140311802,0.159334226068905
5988785097714417152,235.39778242278604,-45.54159094097593,-0.45123382639282783
5988785097714420864,235.390037387054,-45.5310069245497,0.4619227920719814
5988785097715379584,235.40380691068242,-45.54125686659465,0.5083875078141407
5988648822678331136,237.89733495900526,-43.84002170723385,0.5483205828907517
5988648822678331264,237.89741535617674,-43.83874895845113,0.5946132041636696
5988648822678836352,237.906062147964,-43.835642136252886,0.3935724307831928
5988648822679429504,237.90653026943144,-43.84701743984132,1.8383270736769015
5988648822679430016,237.91195065946093,-43.84002679878112,0.9575996177867266
5988648822689774208,237.90707212142797,-43.84301216418844,0.4403219639419644
5988648827001863296,237.9086733019253,-43.85228257319637,0.2901296062962457
5988648827001865728,237.91109805158214,-43.85135616778102,
5988648827001866112,237.90806393066177,-43.851110586049025,0.11734879236046528
5988648827001866624,237.9091915013917,-43.85099673420237,2.196239591273643
